,0,1
711,7.1,872.0
712,6.8,2118.0
713,7.4,1121.0
714,6.3,2448.0
742,7.0,182.0
743,5.9,14.0
744,7.0,5399.0
745,7.9,9519.0
746,7.6,1256.0
747,7.5,6891.0
750,7.3,138.0
751,6.9,100.0
752,7.9,12188.0
753,7.2,149.0
754,7.0,4218.0
755,7.0,4800.0
756,7.4,2460.0
757,7.0,103.0
758,7.0,92.0
759,7.4,676.0
760,7.4,775.0
761,7.2,669.0
762,7.8,4662.0
763,7.4,1232.0
764,7.3,2919.0
765,7.5,2293.0
766,7.3,2379.0
767,7.7,16096.0
768,6.7,2285.0
769,8.5,10063.0
770,8.0,3266.0
771,7.4,8955.0
772,6.7,7723.0
773,7.7,5684.0
774,6.8,240.0
775,8.0,1309.0
776,7.7,411.0
777,7.8,492.0
778,7.1,320.0
779,7.5,357.0
780,8.1,652.0
781,7.0,31.0
782,7.6,5105.0
783,7.5,1876.0
784,7.4,118.0
785,6.9,19.0
786,7.5,2147.0
787,6.7,8558.0
788,7.2,5075.0
790,6.7,1090.0
791,4.4,573.0
792,7.7,3541.0
793,7.7,2543.0
794,7.4,1504.0
795,6.7,1745.0
796,6.8,2603.0
797,8.3,1612.0
798,7.1,5.0
799,7.1,21.0
800,8.1,348.0
801,7.4,2098.0
802,7.4,1582.0
803,8.3,337.0
804,7.9,1561.0
805,7.8,3077.0
806,5.5,827.0
807,8.3,17033.0
808,7.7,13840.0
809,7.2,9935.0
810,6.3,7371.0
811,6.4,428.0
812,7.6,9628.0
813,7.3,3524.0
814,7.4,1798.0
815,5.8,111.0
817,6.2,2693.0
818,6.0,2546.0
820,7.7,1605.0
821,8.1,559.0
822,7.6,108.0
823,7.4,331.0
824,7.6,3801.0
826,7.8,1569.0
827,7.9,700.0
828,7.5,816.0
829,7.9,2939.0
830,7.3,674.0
831,6.0,153.0
832,8.1,1589.0
833,7.9,506.0
834,6.6,3378.0
835,5.4,5.0
836,7.3,67.0
837,7.3,1621.0
838,7.1,1082.0
839,7.4,1397.0
840,7.4,3332.0
841,6.2,2194.0
842,6.5,234.0
843,8.1,1872.0
844,7.2,642.0
845,7.7,1229.0
846,6.8,1248.0
847,7.0,1409.0
848,6.5,203.0
849,6.0,389.0
850,7.3,950.0
851,7.8,433.0
852,7.4,94.0
853,7.4,2817.0
854,6.9,8379.0
855,7.4,4550.0
856,7.5,4647.0
857,8.2,13012.0
858,6.7,1836.0
859,7.3,887.0
860,7.1,1398.0
861,7.3,4616.0
862,8.0,15361.0
863,7.6,11568.0
864,7.0,1594.0
865,6.5,1783.0
866,7.3,3104.0
867,5.4,509.0
868,6.9,249.0
869,5.7,3279.0
870,7.6,227.0
871,7.6,2646.0
872,8.2,2412.0
873,7.8,1324.0
874,7.4,315.0
875,7.0,129.0
877,7.5,428.0
878,7.0,111.0
879,6.8,4425.0
880,7.0,89.0
881,7.5,2726.0
882,6.3,2.0
883,7.0,698.0
885,7.2,71.0
886,7.1,207.0
887,7.8,464.0
888,5.3,1983.0
889,4.7,592.0
890,6.6,24.0
891,7.7,1391.0
892,7.3,1078.0
893,6.5,6.0
894,6.5,12.0
895,8.2,561.0
896,8.2,166.0
897,8.0,171.0
898,7.5,216.0
899,6.9,168.0
900,7.6,727.0
901,8.4,1617.0
902,7.4,813.0
903,7.8,1059.0
904,10.0,1.0
905,7.6,149.0
906,6.3,16.0
907,7.6,868.0
908,5.7,25.0
909,7.1,262.0
910,7.7,767.0
911,6.4,89.0
912,6.9,347.0
913,6.7,921.0
914,8.4,2593.0
916,7.2,816.0
917,7.4,73.0
918,6.0,362.0
919,6.8,236.0
920,6.9,11591.0
921,7.5,1758.0
922,7.3,1204.0
923,7.5,1599.0
924,7.0,3116.0
925,7.8,1307.0
926,7.1,1729.0
927,7.1,5231.0
928,6.4,2001.0
929,5.6,3137.0
930,7.1,11.0
931,7.0,751.0
932,7.0,44.0
933,5.9,9.0
934,7.9,392.0
935,8.1,4472.0
936,6.9,767.0
938,8.0,3061.0
939,6.3,143.0
940,7.5,662.0
941,7.3,3640.0
942,7.0,2723.0
943,6.7,2286.0
944,6.6,2090.0
946,7.9,222.0
947,8.0,2299.0
948,7.6,4190.0
949,7.9,5490.0
950,6.7,8287.0
951,6.1,1947.0
953,6.9,9097.0
954,6.9,7027.0
955,6.1,5286.0
956,6.7,5378.0
957,6.8,2353.0
961,8.0,864.0
962,8.0,1182.0
963,7.8,1252.0
964,7.2,249.0
965,7.3,305.0
966,7.6,1386.0
967,7.5,1657.0
968,7.8,2286.0
975,8.3,2181.0
976,7.7,329.0
977,7.3,111.0
978,7.2,2242.0
979,7.3,2114.0
980,7.9,265.0
981,7.7,655.0
982,7.6,508.0
983,7.5,454.0
984,7.5,1833.0
985,7.5,1887.0
986,7.2,150.0
987,7.4,257.0
988,7.2,332.0
989,7.1,54.0
990,7.8,723.0
991,6.5,383.0
992,8.2,660.0
993,7.7,447.0
995,7.7,826.0
996,8.2,1343.0
1018,7.8,4878.0
1023,7.5,510.0
1024,7.0,703.0
1039,6.6,12.0
1040,7.7,584.0
1049,6.3,286.0
1050,7.0,49.0
1051,7.5,1351.0
1058,5.9,183.0
1059,8.0,431.0
1073,7.0,806.0
1075,7.7,567.0
1088,7.3,293.0
1089,7.1,2769.0
1090,7.0,1001.0
1091,8.0,5285.0
1092,8.0,1371.0
1093,7.7,418.0
1103,7.1,2404.0
1114,7.4,83.0
1115,6.5,20.0
1116,7.4,567.0
1123,6.3,96.0
1124,8.2,13001.0
1125,6.8,817.0
1126,7.3,71.0
1127,6.8,64.0
1162,7.8,215.0
1163,7.0,25.0
1164,7.2,3040.0
1165,7.0,994.0
1213,7.2,2798.0
1244,6.3,33.0
1245,7.4,957.0
1246,6.8,2735.0
1247,6.4,885.0
1248,6.2,1777.0
1249,6.1,301.0
1250,5.5,4861.0
1251,7.5,1599.0
1253,6.1,170.0
1254,7.3,486.0
1255,7.0,2119.0
1256,5.4,57.0
1257,5.9,535.0
1259,7.1,673.0
1260,8.6,8.0
1262,7.3,1841.0
1263,6.3,8.0
1264,5.5,54.0
1265,7.3,3847.0
1266,6.6,1099.0
1267,6.9,2262.0
1268,6.3,2314.0
1269,6.5,99.0
1271,7.2,11662.0
1272,7.0,2990.0
1273,6.1,850.0
1277,8.0,48.0
1278,7.2,2349.0
1279,6.9,161.0
1280,7.8,887.0
1281,6.4,1970.0
1282,7.1,123.0
1284,6.0,133.0
1285,5.3,117.0
1294,6.8,98.0
1358,7.4,95.0
1359,7.4,7874.0
1360,7.5,1723.0
1361,6.7,114.0
1362,6.3,207.0
1363,6.2,66.0
1365,6.8,751.0
1366,7.8,6086.0
1367,7.2,3380.0
1368,7.4,4930.0
1369,6.6,2998.0
1370,6.1,2446.0
1371,6.8,3194.0
1372,7.5,6223.0
1373,6.8,18.0
1374,7.0,3437.0
1375,5.7,2480.0
1376,7.0,156.0
1377,6.4,126.0
1379,6.7,87.0
1380,5.9,101.0
1381,6.9,2216.0
1382,7.0,246.0
1386,7.2,57.0
1387,7.2,43.0
1388,6.2,19.0
1389,6.6,974.0
1392,7.0,164.0
1393,7.3,61.0
1394,7.9,378.0
1396,8.1,663.0
1397,10.0,1.0
1398,8.2,1554.0
1402,7.9,8227.0
1403,6.3,68.0
1404,6.6,82.0
1405,7.6,128.0
1406,6.4,591.0
1407,7.5,1317.0
1408,5.8,411.0
1410,6.1,394.0
1411,6.0,54.0
1413,6.6,154.0
1414,7.4,186.0
1415,5.9,143.0
1416,6.6,60.0
1417,7.7,8916.0
1418,7.2,173.0
1419,4.3,48.0
1420,7.2,272.0
1421,7.3,142.0
1422,8.2,12352.0
1423,3.0,1.0
1424,4.7,30.0
1426,2.0,1.0
1427,7.3,3634.0
1428,6.3,1728.0
1429,7.4,1899.0
1430,7.6,1240.0
1433,7.3,923.0
1435,6.8,59.0
1436,7.0,105.0
1437,5.1,6.0
1438,10.0,2.0
1439,6.7,625.0
1441,5.7,395.0
1442,6.5,15.0
1443,7.1,2475.0
1444,6.7,168.0
1448,5.8,74.0
1450,5.7,278.0
1452,5.7,3445.0
1479,6.5,67.0
1480,7.8,1113.0
